project,download_count
flask-sqlalchemy,7422762
azure-mgmt-containerinstance,7411198
yamllint,7370075
scp,7349540
fasteners,7343980
blis,7342079
types-urllib3,7324221
protobuf3-to-dict,7296331
pyproject-api,7294388
nose,7279945
flit-core,7272656
pep517,7255194
azure-mgmt-recoveryservices,7239609
apache-beam,7232528
types-protobuf,7227641
azure-mgmt-monitor,7216654
tifffile,7201046
dacite,7194120
azure-mgmt-datalake-nspkg,7184126
opentelemetry-instrumentation,7174822
azure-servicebus,7159727
slicer,7148134
cmake,7125360
avro-python3,7119879
azure-mgmt-dns,7116111
twine,7108330
azure-mgmt-sql,7092774
tensorboard-plugin-wit,7086239
azure-mgmt-servicebus,7061146
bitarray,7039573
pyserial,7037205
junitparser,7022214
holidays,7020763
azure-mgmt-batch,7018246
azure-mgmt-web,6993005
dbt-core,6949490
parsedatetime,6940985
avro,6939507
sklearn,6925687
google-cloud-vision,6900325
sendgrid,6878570
geopandas,6857905
azure-mgmt-datalake-store,6849622
azure-mgmt-cognitiveservices,6829068
azure-mgmt-signalr,6828047
junit-xml,6807656
tensorflow-text,6799719
azure-mgmt-rdbms,6782828
parameterized,6773082
ratelimit,6756820
sqlalchemy-utils,6749941
flask-wtf,6744880
azure-mgmt-cdn,6719543
azure-mgmt-iothub,6712682
types-awscrt,6710493
mashumaro,6675517
fiona,6660901
azure-mgmt-devtestlabs,6649609
azure-mgmt-marketplaceordering,6647627
parse,6644615
azure-mgmt-trafficmanager,6638013
azure-mgmt-search,6625815
einops,6619061
resolvelib,6614847
py-cpuinfo,6614285
lazy-loader,6610405
azure-mgmt-recoveryservicesbackup,6600347
langcodes,6589233
azure-mgmt-eventhub,6587797
pydocstyle,6586736
onnxruntime,6565318
azure-mgmt-loganalytics,6548445
elastic-transport,6500022
bytecode,6496658
fire,6482276
office365-rest-python-client,6476694
google-cloud-monitoring,6460801
flask-login,6446441
pytest-rerunfailures,6445266
phonenumbers,6435986
ddsketch,6435813
pypdf2,6435388
google-cloud-dataproc,6404216
google-cloud-kms,6400164
agate,6396362
unicodecsv,6387147
jaydebeapi,6382814
iso8601,6381018
pyhcl,6377033
pydot,6359843
google-cloud-spanner,6356839
apache-airflow-providers-snowflake,6343608
azure-mgmt-managementgroups,6342932
azure-eventhub,6341235
pyarrow-hotfix,6337575
azure-mgmt-applicationinsights,6332361
polars,6313185
limits,6309307
netaddr,6301969
pyspnego,6294420
types-setuptools,6286369
ansible,6277081
azure-mgmt-advisor,6252048
django-cors-headers,6247607
azure-mgmt-billing,6240124
levenshtein,6235510
azure-mgmt-media,6223654
azure-mgmt-policyinsights,6222679
azure-mgmt-servicefabric,6220087
azure-mgmt-iothubprovisioningservices,6209947
types-s3transfer,6205800
google-cloud-dlp,6193816
gradio,6184208
azure-mgmt-datamigration,6181037
mysqlclient,6178740
cdk-nag,6178251
azure-mgmt-maps,6173686
azure-mgmt-iotcentral,6153579
azure-appconfiguration,6131842
connexion,6129447
spacy-legacy,6127583
torchaudio,6122461
envier,6114710
azure-storage-file-share,6097635
google-cloud-bigtable,6075991
pika,6073191
azure-mgmt-eventgrid,6069071
wtforms,6048279
python-levenshtein,6038577
azure-mgmt-apimanagement,6025416
keras-preprocessing,6000382
azure-mgmt-batchai,5996632
requests-mock,5989636
google-re2,5969766
azure-kusto-data,5956502
azure-cli-telemetry,5925303
looker-sdk,5923779
spacy-loggers,5916861
google-cloud-tasks,5904605
rich-argparse,5902156
waitress,5882322
azure-keyvault-certificates,5831967
cron-descriptor,5817721
jax,5808106
azure-mgmt-datalake-analytics,5801029
keras-applications,5793578
opentelemetry-util-http,5782303
marshmallow-enum,5773283
onnx,5759732
mypy-boto3-appflow,5755350
funcsigs,5754572
azure-multiapi-storage,5750029
hyperlink,5749987
checkov,5740304
geographiclib,5739715
pydantic-settings,5726998
azure-mgmt-datafactory,5721977
psycopg,5710226
aws-psycopg2,5705504
cachelib,5694558
starkbank-ecdsa,5691813
universal-pathlib,5676114
google-ads,5650705
leather,5647601
lark,5636447
flask-limiter,5635676
geoip2,5633053
inflect,5630574
databricks-sdk,5626438
azure-synapse-artifacts,5549663
confection,5538254
pywin32-ctypes,5518135
certbot,5498409
ndg-httpsclient,5469007
google-cloud-datacatalog,5458929
diskcache,5451431
yapf,5446829
statsd,5441477
slackclient,5418226
azure-loganalytics,5394012
pytest-forked,5389440
ipaddress,5383305
dbt-extractor,5379576
google-cloud-container,5364112
bokeh,5353621
apache-airflow-providers-google,5336784
mergedeep,5335932
kfp,5317674
maxminddb,5315504
qtconsole,5314910
javaproperties,5306602
azure-mgmt-hdinsight,5299983
ansible-core,5296185
azure-mgmt-redhatopenshift,5284552
azure-mgmt-consumption,5276417
azure-mgmt-security,5276189
linkify-it-py,5255111
flask-caching,5252994
google-cloud-language,5242473
apache-airflow-providers-databricks,5238491
partd,5233312
google-cloud-bigquery-datatransfer,5231888
azure-mgmt-relay,5229861
pipx,5229525
asyncio,5228508
locket,5212493
azure-mgmt-netapp,5204306
azure-mgmt-kusto,5188094
geopy,5187759
torchmetrics,5180249
xarray,5173556
azure-mgmt-imagebuilder,5167697
openapi-spec-validator,5167014
google-cloud-videointelligence,5166134
azure-mgmt-appconfiguration,5155441
apache-airflow-providers-ssh,5153748
uc-micro-py,5153460
pyotp,5146874
google-cloud-build,5141439
pytorch-lightning,5139353
lightning-utilities,5127093
azure-keyvault-administration,5122101
crcmod,5115875
gensim,5114184
azure-mgmt-privatedns,5106741
opencv-python-headless,5092345
datadog-api-client,5085138
pydash,5082377
azure-synapse-spark,5080545
pypdf,5078501
azure-synapse-managedprivateendpoints,5076829
azure-devops,5064098
incremental,5059043
grpcio-health-checking,5051919
telethon,5045243
